Geneid,log2FoldChange,padj
Nufip1,0.326657067,5.58E-09
Idh3g,0.357858235,5.58E-09
Hadha,0.244217002,5.66E-09
2810004N23Rik,0.777982899,5.72E-09
Hk2,-0.714847945,5.81E-09
Prps1,0.442225435,5.81E-09
Tmem140,-1.211990972,5.85E-09
Socs5,-0.821609262,5.88E-09
Nabp1,-0.991380178,5.95E-09
Fosb,-0.96055747,5.95E-09
Sgta,0.379976728,6.10E-09
Wdr4,0.446115599,6.10E-09
Rrp12,0.356392456,6.10E-09
Atp6ap1,0.320498985,6.12E-09
Gm26532,-1.670107784,6.14E-09
Ctsa,0.519004359,6.18E-09
Wwtr1,-0.531154977,6.35E-09
Mrpl40,0.701830591,6.41E-09
Sesn1,-0.84308546,6.60E-09
Ctdspl,-0.828595192,6.63E-09
Apold1,-1.180120966,6.80E-09
Rpl23a,0.786765636,7.24E-09
Gss,0.741959676,7.33E-09
Dpf1,0.859101301,7.45E-09
Spsb4,-1.115023854,7.46E-09
Spred1,-1.052129842,7.88E-09
Anapc5,0.383168617,7.97E-09
Unc50,-0.535697207,7.98E-09
1600012H06Rik,-0.68916377,8.03E-09
Bcl2l11,-0.719274741,8.03E-09
Kbtbd7,-1.420008285,8.86E-09
Msantd4,-0.639606683,8.96E-09
Rpl13-ps1,1.629664899,9.52E-09
Rspry1,-0.75272349,9.52E-09
Arid3a,-0.77985814,9.55E-09
Mrpl42,0.755380488,9.62E-09
Drg2,0.431392269,9.75E-09
Usp38,-0.62402865,1.00E-08
Etaa1,-0.68037366,1.01E-08
Nhp2,1.07956881,1.01E-08
Hic1,-0.823325787,1.02E-08
Cct6a,0.423549353,1.02E-08
G2e3,-1.070252499,1.04E-08
Dusp1,-1.065459196,1.05E-08
Prrg1,-1.122047753,1.05E-08
Mrpl39,0.474403561,1.06E-08
Arhgdia,0.563520797,1.10E-08
Nadk,0.415242202,1.10E-08
Snord49b,1.544134288,1.11E-08
Dusp5,-1.302551886,1.16E-08
Uqcrq,1.08392367,1.19E-08
Calm3,0.538049496,1.20E-08
Zc2hc1c,-1.271945041,1.22E-08
Fam129b,0.320182484,1.24E-08
Dcun1d4,-1.017034959,1.25E-08
Ccnt1,-0.876463327,1.27E-08
Oas2,-0.997581057,1.27E-08
Smox,0.617610016,1.33E-08
Mlf2,0.562889553,1.36E-08
Dolk,-1.009486321,1.37E-08
Uchl3,0.653573637,1.39E-08
Smarcd2,0.400470062,1.45E-08
Mrpl57,0.863053313,1.45E-08
Ap2m1,0.413729669,1.46E-08
Imp4,0.348916715,1.46E-08
Mettl13,0.380046327,1.46E-08
Pdlim7,0.518633946,1.46E-08
Sirt2,0.289194681,1.46E-08
Cmtr2,-1.10539505,1.55E-08
Pdgfra,-0.779195631,1.56E-08
RP24-277J22.3,1.398187653,1.57E-08
L3mbtl3,-0.736349334,1.59E-08
Scamp3,0.496584978,1.59E-08
Wars,0.297736778,1.67E-08
Plekha3,-0.528298707,1.69E-08
Tbcel,-0.442407092,1.73E-08
Gm21781,-1.292155226,1.74E-08
Eif5a,0.789014426,1.76E-08
Bcl6,-0.979781066,1.80E-08
Ppp2r1a,0.515045732,1.83E-08
Med16,0.428933666,1.85E-08
Rabepk,0.551214216,1.87E-08
Sertad4,-0.768721667,1.88E-08
Ficd,-1.152338951,1.88E-08
Ifi203,-0.671199663,1.88E-08
Clp1,-0.769855593,1.88E-08
Eif1ad,0.568325882,1.89E-08
Pik3r3,-0.946248069,1.89E-08
Mpp2,-0.806689043,1.99E-08
Cited2,-0.963715532,1.99E-08
4930516B21Rik,-1.23162548,1.99E-08
Mbtd1,-0.695813246,2.07E-08
Styk1,-0.591213749,2.10E-08
Cog6,-0.468409984,2.17E-08
St6galnac4,0.467886078,2.17E-08
Zfp867,-0.860252079,2.20E-08
Egln3,-0.619722797,2.20E-08
Snrpd3,0.798886746,2.25E-08
Cyc1,0.62787455,2.26E-08
Nr6a1,-0.834134343,2.26E-08
Acd,0.484577361,2.26E-08
Asns,0.375171516,2.35E-08
Slc6a6,-1.006908722,2.36E-08
Ereg,-1.002508914,2.36E-08
Phb2,0.606214214,2.40E-08
Usp6nl,-0.844935797,2.43E-08
Slc38a9,-0.551009692,2.44E-08
Hist1h2bc,0.820031733,2.44E-08
Ranbp1,0.852221338,2.44E-08
Prkce,-0.732325025,2.44E-08
Abhd16a,0.560848616,2.44E-08
Npepl1,0.642921,2.49E-08
